Zipcode,Abandoned#,Longitude,Latitude,AvgSalary,house_zipcode
7108,64,-74.21325961,40.7244949,39145,7108
7108,64,-74.2131094,40.72488604,39145,7108
7108,64,-74.21304687,40.72407019,39145,7108
7108,64,-74.21218698,40.72474496,39145,7108
7108,64,-74.20617337,40.72370704,39145,7111
7102,3,-74.17946292,40.72941155,41233,7102
7102,3,-74.17480577,40.73552284,41233,7102
7102,3,-74.17611744,40.72773651,41233,07102; 07105
7102,3,-74.17563263,40.72850524,41233,7102
7102,3,-74.17007441,40.73139253,41233,7102
7102,3,-74.169987,40.73136674,41233,7102
7102,3,-74.1751424,40.73685645,41233,7102
7102,3,-74.17289078,40.73816508,41233,7103
7102,3,-74.16978336,40.75895633,41233,7104
7102,3,-74.17309742,40.74384448,41233,7103
7102,3,-74.18956109,40.7209905,41233,7108
7102,3,-74.2067287,40.74154068,41233,7103
7102,3,-74.17168631,40.74067899,41233,7102
7102,3,-74.17415721,40.74233972,41233,07102:07103
7102,3,-74.16973865,40.74098939,41233,7102
7102,3,-74.16948998,40.74128792,41233,7102
7102,3,-74.17175942,40.74070547,41233,7102
7102,3,-74.16980576,40.74086682,41233,7102
7102,3,-74.16967016,40.74115678,41233,7102
7102,3,-74.16988618,40.74070059,41233,7102
7102,3,-74.19824117,40.75079184,41233,7107
7102,3,-74.19518186,40.71328974,41233,7112
7102,3,-74.16978487,40.74139368,41233,07102:07103
