,Establishment,Latitude,Longitude,Evaluation,property_zipcode
312,Rose's BBQ,40.72084,-74.16160151,Conditionally Satisfactory,07105
313,Plaza 21 Coffee Shop,40.75748942,-74.16614999,Conditionally Satisfactory,07104
314,Plaza 21 Coffee Shop,40.75748942,-74.16614999,Conditionally Satisfactory,07104
315,Taste of Portugal ,40.72046256,-74.16139845,Conditionally Satisfactory,07105
316,EL Encargo Deli & Grocery ,40.75925555,-74.17896817,Conditionally Satisfactory,07104
317,Yah Mon Island Grill ,40.74666654,-74.22953969,Satisfactory,07106
318,Culrural Associacao Roca-o-Norte ,40.7274339,-74.16525575,Satisfactory,07105
319,Con Sabor Ecuatoriano,40.7273016,-74.16323359999998,Conditionally Satisfactory,07105
320,Jones Farmers Market ,40.77477929999999,-74.15992263,Conditionally Satisfactory,07104
321,Jones Farmers Market ,40.77477929999999,-74.15992263,Conditionally Satisfactory,07104
322,USA 99 C Store,40.72797077,-74.15718214,Satisfactory,07105
323,Cincander Restaurant ,40.75926413,-74.16954057,Conditionally Satisfactory,07104
324,Sportsmen's Hunting Club,40.730967799999995,-74.15847448,Conditionally Satisfactory,07105
325,King Crown Fried Chicken ,40.75925768,-74.16880251,Conditionally Satisfactory,07104
327,Good Will,40.74536191,-74.17248131,Conditionally Satisfactory,07102
328,Saint Paul's Centenary United Methodist Day Care,40.77759106,-74.16425972,Satisfactory,07104
329,Saint Paul's Centenary United Methodist Day Care,40.77759106,-74.16425972,Satisfactory,07104
330,Global Mini Market ,40.779654,-74.16325931,Conditionally Satisfactory,07104
331,Mr. Adams Steak House,40.74318624,-74.16586046,Conditionally Satisfactory,07102
332,Blitz Sports Bar,40.72258157,-74.15003804,Satisfactory,07105
334,City Beans Cafe,40.735515899999996,-74.16784468,Conditionally Satisfactory,07102
335,Rodriguez Mini Grocery Store ,40.73086011,-74.14168690000001,Satisfactory,07105
337,City Beans Cafe ,40.7383592,-74.16914329,Conditionally Satisfactory,07102
338,Zepe's Cafe & Bar,40.72678312,-74.16052345,Conditionally Satisfactory,07105
339,Downtown Fuel LLC,40.72272492,-74.18810891,Satisfactory,07108
